d_B,n_b_qubits,trial,value,omega,eta_ab
32,5,30,0.2333275900615263,0.3408066110841113,1.5005948587024518,1.119581447076144
32,5,31,0.403599637507674,0.07655128130208934,1.3810031043502047,1.0310525549269602
64,6,0,0.20633141070475614,0.3745401188473625,1.4483071096990625,1.1266140008523318
64,6,1,0.24833953128447478,0.5986584841970366,0.2794716432742693,0.2794361675106186
64,6,2,0.4091024828576171,0.05808361216819946,1.3239686935631354,0.9341177512531826
64,6,3,0.18346004223471724,0.7080725777960455,0.08027559859919674,1.4765398478820424
64,6,4,0.24555086273997617,0.8324426408004217,0.36230758402050356,0.3174274938878061
64,6,5,0.22585088593847635,0.18340450985343382,0.49747837340072854,0.8218098321066927
64,6,6,0.203330210921787,0.43194501864211576,0.478338749658916,0.9499109900965003
64,6,7,0.24874533318247677,0.13949386065204183,0.4796852759583849,0.5888436533941692
64,6,8,0.12517678082518208,0.45606998421703593,1.204833919904496,0.34367946535575983
64,6,9,0.1271234856112152,0.5142344384136116,0.9213211718220744,0.11831909640667959
64,6,10,0.00843376972832835,0.9522541012238168,0.8588650641448297,1.4759916212381294
64,6,11,0.36609781793561597,0.008558490263606305,0.8819016561613165,0.6557986905314628
64,6,12,0.3933920685820114,0.009617591189629987,0.9678997593783178,0.6296830485401226
64,6,13,0.43040656364271257,0.003668133979440686,1.238470804773083,1.1492646253563585
64,6,14,0.24612646344662073,0.25089311591054475,1.5107778558407947,1.2193039468850198
64,6,15,0.23453501473248528,0.285797556368283,1.213281539573873,1.1790214977705915
64,6,16,0.3425440132003912,0.10012496414345895,1.250252355438995,0.9622376182582774
64,6,17,0.37544167693968444,0.08587244217399603,1.0721628410083333,1.3322708154029415
64,6,18,0.23802986466133766,0.28924309655811986,1.3557428901707906,0.9933649220985032
64,6,19,0.3549651658983496,0.009716811525715803,0.7723240200006833,0.8005196328490582
64,6,20,0.22680657397764536,0.21155616465718088,1.124855978597835,0.7815666669167172
64,6,21,0.3880671320195448,0.019080652255650844,1.0294632445208447,0.5060016147965938
64,6,22,0.3818627909162266,0.10631550048049401,1.3435607445316022,1.084614039900951
64,6,23,0.3413575049364861,0.001330203131583762,0.7354285790825752,0.6966015667715935
64,6,24,0.3122362102730017,0.16328208586978282,1.0213663157131518,1.3356061774329466
64,6,25,0.4007865724136591,0.08714275275642093,1.3074620536926282,0.5122146649743539
64,6,26,0.40537850726730124,0.09312479766516017,1.3372818010997716,0.4425610581604986
64,6,27,0.20730848574513966,0.35800025649167283,1.427607963382817,1.3215317942820417
64,6,28,0.2849099649145221,0.2229157130588918,1.1641902624967362,0.05177234552732246
64,6,29,0.437388363443386,0.08548390554017389,1.4723867962785908,1.0683026206520372
64,6,30,0.21287501569732267,0.3408066110841113,1.506213568936577,1.0656575974474238
64,6,31,0.4088809940135687,0.07655128130208934,1.3810031043502047,0.887328025135601
