study,trial,value,best_so_far
ABC-embedded-hierarchical_p1_0_10_30,1,0.0036779081760212403,0.0036779081760212403
ABC-embedded-hierarchical_p1_0_10_30,2,0.0018059554989901154,0.0036779081760212403
ABC-embedded-hierarchical_p1_0_10_30,3,0.001977469569663674,0.0036779081760212403
ABC-embedded-hierarchical_p1_0_10_30,4,0.009262256294318027,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,5,0.005127767761275544,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,6,0.00281919448838554,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,7,0.0049180412564521145,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,8,0.0032144121356251195,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,9,0.004449499675616862,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,10,0.003252697351132096,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,11,0.0052343785208941365,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,12,0.002496526117484114,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,13,0.0028704669051974542,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,14,0.0023135709912594617,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,15,0.00427057040548123,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,16,0.002830203658463804,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,17,0.0025905492971307355,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,18,0.004010533845095298,0.009262256294318027
ABC-embedded-hierarchical_p1_0_10_30,19,0.010024876542456027,0.010024876542456027
ABC-embedded-hierarchical_p1_0_10_30,20,0.006842706263667654,0.010024876542456027
ABC-embedded-hierarchical_p1_0_10_30,21,0.0074696327248448486,0.010024876542456027
ABC-embedded-hierarchical_p1_0_10_30,22,0.009043584805705836,0.010024876542456027
ABC-embedded-hierarchical_p1_0_10_30,23,0.005090352186423843,0.010024876542456027
ABC-embedded-hierarchical_p1_0_10_30,24,0.008431241216420847,0.010024876542456027
