seed,r2_teacher_forced,nrmse_teacher_forced,teacher_forced_ok,mse_150,nrmse_150,r2_150,mse_1000,nrmse_1000,r2_1000,valid_prediction_time,valid_threshold,diverged,out_of_range_fraction,grid_clamps,model,series,n_aux,device,seconds
13,0.9996693764011315,0.01818305801751865,True,0.016596149438896826,0.527597934848669,0.7216404191434196,0.1150990465207988,1.3418539926716935,-0.8005721376489654,49,0.1,False,0.006,0,ABC-noaux-tied,MG_standard,0,cpu,5.333524227142334
13,0.9654191971179014,0.1859591430451824,False,0.02417622213554092,0.6367861914439193,0.594503346386348,2.574231396863952,6.3458995196218515,-39.27044071313685,1,0.1,False,0.823,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.004051446914673
13,0.9054760689786371,0.30744744432400617,False,0.16487917923215184,1.6629620062616706,-1.7654426342698404,0.13810921316470062,1.4698760895158585,-1.160535718530432,1,0.1,False,0.046,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,2.9514896869659424
14,0.9976682398754788,0.04828830214991177,True,1.8077196128826927,5.506364460822483,-29.320049575408877,4.938232491641139,8.789317766114465,-76.25210679373535,10,0.1,True,0.763,0,M0-noaux,MG_standard,0,cpu,2.5546767711639404
14,0.9744752558780171,0.15976465229199777,False,0.2577619239499831,2.0792600098157927,-3.323322188419171,0.605831069912227,3.078542623392257,-8.47742468404288,4,0.1,False,0.568,0,AB-noaux-kraus,MG_standard,0,cpu,3.9705076217651367
14,0.9568837208069778,0.20764459827556841,False,0.46519894165403985,2.793307693787869,-6.802567872174504,0.54706079642816,2.925413063964724,-7.558041594815474,1,0.1,True,0.522,0,ABC-noaux-kraus,MG_standard,0,cpu,5.290377378463745
14,0.9992668173782275,0.027077345175855375,True,0.1279721988830054,1.465066151704007,-1.146418828868788,0.138459124209506,1.4717369375604898,-1.166009613379929,22,0.1,False,0.084,0,ABC-noaux-tied,MG_standard,0,cpu,5.42029333114624
14,0.9568837208069778,0.20764459827556841,False,0.46519894165403985,2.793307693787869,-6.802567872174504,0.54706079642816,2.925413063964724,-7.558041594815474,1,0.1,True,0.522,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.2739057540893555
14,0.8993511411597055,0.31725204308293187,False,0.08390895156825538,1.1863246812322212,-0.4073662493007315,0.11241864837816942,1.32613757160143,-0.7586408588129381,2,0.1,False,0.015,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,2.9772701263427734
15,0.9970734946085885,0.05409718469025433,True,15.32299346363822,16.031391745365603,-256.0055212933764,15.924889261808065,15.783656118654177,-248.12380047192943,13,0.1,True,0.845,0,M0-noaux,MG_standard,0,cpu,2.5619356632232666
15,0.977635847055255,0.14954649091418046,False,0.39833065538865714,2.584766307396892,-5.681016863854166,0.6321393144170524,3.1446752336060366,-8.888982324855181,4,0.1,False,0.598,0,AB-noaux-kraus,MG_standard,0,cpu,3.9486842155456543
15,0.9608866582247384,0.19777093258429454,False,0.036536531426171415,0.7828220972930525,0.3871895639897066,0.16396872999723217,1.6015847180951062,-1.5650736092357804,1,0.1,False,0.144,0,ABC-noaux-kraus,MG_standard,0,cpu,5.410970687866211
15,0.9995830594367396,0.020419122489967842,True,0.0324510118758053,0.7377573420823487,0.4557141042035884,0.0908935241639746,1.192438174435443,-0.4219087998509323,42,0.1,False,0.003,0,ABC-noaux-tied,MG_standard,0,cpu,5.416943073272705
15,0.9608866582247384,0.19777093258429454,False,0.036536531426171415,0.7828220972930525,0.3871895639897066,0.16396872999723217,1.6015847180951062,-1.5650736092357804,1,0.1,False,0.144,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.434862375259399
15,0.8953968530984464,0.32342409758945534,False,0.11485995421481805,1.387981693052862,-0.9264931802498892,0.12400634600008462,1.3928083287216866,-0.9399150405564975,5,0.1,False,0.032,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,2.98102068901062
16,0.9979036983089248,0.045785387309438236,True,7.890498389136043,11.504073196552882,-131.34370011164646,2.001772808363752,5.59598823264967,-30.315084299953583,11,0.1,True,0.949,0,M0-noaux,MG_standard,0,cpu,2.495972156524658
16,0.9806084259680725,0.13925363202418645,False,0.44145857699021906,2.7210993468548583,-6.4043816554539355,0.6623714205622477,3.218994188251396,-9.361923583996266,8,0.1,False,0.609,0,AB-noaux-kraus,MG_standard,0,cpu,3.9883899688720703
16,0.9703088479610926,0.17231120694518798,False,0.020324419241145263,0.5838596880830188,0.6591078646316,0.24940438588669486,1.9752471462355476,-2.901601288711675,2,0.1,False,0.267,0,ABC-noaux-kraus,MG_standard,0,cpu,5.40401291847229
16,0.9995484782115732,0.021249042059038617,True,0.013985831315642452,0.48433244330272057,0.7654220843644169,0.11213381617354283,1.3244565059763584,-0.7541850362231037,56,0.1,False,0.001,0,ABC-noaux-tied,MG_standard,0,cpu,5.405043363571167
16,0.9703088479610926,0.17231120694518798,False,0.020324419241145263,0.5838596880830188,0.6591078646316,0.24940438588669486,1.9752471462355476,-2.901601288711675,2,0.1,False,0.267,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.409861326217651
16,0.9023534162655682,0.31248453359235534,False,0.08357725851190566,1.18397758181245,-0.401802914234457,0.3101797880306482,2.2028054748641295,-3.852351960091382,3,0.1,True,0.225,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,2.930023431777954
17,0.996804961687947,0.056524669942008485,True,9.509123201544654,12.629020135231501,-158.49214957608268,7.913870860551375,11.126635966601562,-122.80202793327149,4,0.1,True,0.977,0,M0-noaux,MG_standard,0,cpu,2.449112892150879
17,0.9774634259940498,0.1501218638505072,False,0.33999663470727365,2.388013225820412,-4.702607166693211,0.5990413300412216,3.0612429169479385,-8.371208196563922,4,0.1,False,0.589,0,AB-noaux-kraus,MG_standard,0,cpu,3.939622163772583
17,0.9619072685249103,0.19517359318076238,False,0.21446718261382058,1.8966178861706775,-2.597159406142529,0.3948168251238748,2.4852336522440597,-5.176386306246347,1,0.1,False,0.441,0,ABC-noaux-kraus,MG_standard,0,cpu,5.297156095504761
17,0.9993360485475489,0.025767255431092654,True,0.026852195011603436,0.6711032080123568,0.5496204841955233,0.13175176741135436,1.435646857678414,-1.0610818999619043,42,0.1,False,0.007,0,ABC-noaux-tied,MG_standard,0,cpu,5.384254217147827
17,0.9619072685249103,0.19517359318076238,False,0.21446718261382058,1.8966178861706775,-2.597159406142529,0.3948168251238748,2.4852336522440597,-5.176386306246347,1,0.1,False,0.441,0,ABC-noaux-hierarchical,MG_standard,0,cpu,5.326452016830444
17,0.8952739470331439,0.32361404939658606,False,0.12033054321820828,1.4206508555282056,-1.0182488533130227,0.11297758315408277,1.32943019865282,-0.7673846530900765,3,0.1,False,0.029,0,ABC-noaux-shuffled-history,MG_standard,0,cpu,2.9786570072174072
18,0.9971297863680674,0.05357437476940509,True,0.585453857749583,3.1336158454004934,-8.81954826654505,1.029230769495165,4.01259918308043,-15.100952204057734,8,0.1,True,0.948,0,M0-noaux,MG_standard,0,cpu,2.485213041305542
18,0.9782072279484333,0.14762375165117136,False,0.4440288152263352,2.7290091753534633,-6.447491079163391,0.6563663642337336,3.204369271986332,-9.267982431250214,4,0.1,False,0.587,0,AB-noaux-kraus,MG_standard,0,cpu,3.918948173522949
