seed,omega,nonmarkovianity,mean_trace_distance,max_trace_distance,final_trace_distance,steps,seconds
57,1.0,5.622411623829038e-06,0.0018199382615822636,0.9599075317382812,2.6607452241478313e-08,1000,11.513537406921387
57,0.5,5.790619986179024e-06,0.0033720963204748734,0.959907591342926,6.549316822201945e-08,1000,13.330360412597656
57,0.0,0.5731905256396495,0.031469225627178826,0.9599074125289917,6.76224090057076e-08,1000,4.106218099594116
58,1.0,5.462433045000381e-06,0.0017427217122276593,0.9584511518478394,1.978417252246345e-08,1000,10.229254245758057
58,0.5,6.686421902379891e-06,0.0034978433813169186,0.9584512114524841,2.5762799893414012e-08,1000,19.395567417144775
58,0.0,0.08547958976894776,0.02288782293025311,0.9584510922431946,7.548117508804353e-08,1000,3.8366243839263916
59,1.0,5.348227926305071e-06,0.0017941957098227773,0.9552193880081177,6.673795294176443e-09,1000,24.05079936981201
59,0.5,5.812974253949221e-06,0.0035303624856354177,0.9552194476127625,3.8974569349647936e-08,1000,11.676412343978882
59,0.0,0.13619752850847533,0.022614786802535276,0.9552193284034729,5.765933153156766e-08,1000,6.217979431152344
60,1.0,6.425650995955934e-06,0.0016134957778529838,0.9570389986038208,2.0470297457109154e-08,1000,11.469269275665283
60,0.5,5.855125201792433e-06,0.0028269243437262976,0.9570389986038208,1.4033929573997739e-08,1000,11.386378526687622
60,0.0,0.013429553445817533,0.017539372559767168,0.957038938999176,3.694880845728221e-08,1000,7.483694076538086
61,1.0,5.455125160924723e-06,0.001799473920075767,0.9549722075462341,1.1670853616863042e-08,1000,9.81031346321106
61,0.5,6.224029777346374e-06,0.003681272261869831,0.9549721479415894,2.3265632975721928e-08,1000,14.664519309997559
61,0.0,0.4368797023093194,0.03584775675534151,0.9549722671508789,8.125054762331274e-08,1000,6.104536294937134
62,1.0,5.729875809157292e-06,0.0016601708303032147,0.9277397990226746,2.584239311431702e-08,1000,13.361702680587769
62,0.5,5.777963471675918e-06,0.0034881372781165884,0.9277399182319641,1.66614224639261e-08,1000,12.151354551315308
62,0.0,0.6614286876169473,0.03905672962389202,0.9277397394180298,7.606173824115103e-08,1000,7.071681261062622
63,1.0,5.237175320971232e-06,0.0017613038301559152,0.9576939344406128,4.413299059535802e-09,1000,16.225861072540283
63,0.5,6.011145044837463e-06,0.0032719938835023836,0.957693874835968,1.8162612747119056e-08,1000,12.740066051483154
63,0.0,0.20767699118646377,0.025244850852801027,0.9576939344406128,6.241996430844665e-08,1000,5.780181646347046
64,1.0,5.8296327161144745e-06,0.00164190021616166,0.9427104592323303,2.8200588531035464e-08,1000,18.710824012756348
64,0.5,5.7724362014788255e-06,0.0030829775399520516,0.942710280418396,7.492802467368165e-08,1000,12.044392585754395
64,0.0,0.051936079433820836,0.020047728544928083,0.9427103996276855,3.650279722933192e-08,1000,3.6202094554901123
65,1.0,5.394555460558337e-06,0.0018259661012233284,0.9705045223236084,2.3398744275482386e-08,1000,8.145840167999268
65,0.5,5.788216333346696e-06,0.0037485374139419655,0.9705042839050293,3.834347950260053e-08,1000,7.370807409286499
65,0.0,0.33220616004817316,0.02857928312005552,0.9705045223236084,5.244338652232727e-08,1000,4.050871849060059
66,1.0,6.2120103445639785e-06,0.0017005737105744412,0.9690383672714233,5.4136069849164414e-08,1000,9.582628726959229
66,0.5,6.052858930516436e-06,0.0033903532448706177,0.9690384268760681,3.728491648757881e-08,1000,6.9983069896698
