architecture,task,trial,value,state,omega_b,omega_c,eta_ab,eta_bc,omega,eta,eta_ac
ABC-embedded-tied,paper_s0_s10,24,0.45471631910538945,TrialState.COMPLETE,,,,,0.25494901919994284,0.673219426047621,
ABC-embedded-tied,paper_s0_s10,25,0.44934789968092526,TrialState.COMPLETE,,,,,0.0047064210777456456,0.20822885085138942,
ABC-embedded-tied,paper_s0_s10,26,0.7521726945716336,TrialState.COMPLETE,,,,,0.0779865691727473,0.47776664501260036,
ABC-embedded-tied,paper_s0_s10,27,0.7639375208450078,TrialState.COMPLETE,,,,,0.10061399904747975,0.5060016147965938,
ABC-embedded-tied,paper_s0_s10,28,0.757273804965426,TrialState.COMPLETE,,,,,0.1041246871312413,0.49630770472639,
ABC-embedded-tied,paper_s0_s10,29,0.4302817857394909,TrialState.COMPLETE,,,,,0.34990548213757205,0.5578713389849654,
ABC-embedded-tied,paper_s0_s10,30,0.4752136659774117,TrialState.COMPLETE,,,,,0.22026762713330808,0.6944896963284612,
ABC-embedded-tied,paper_s0_s10,31,0.7683773592134533,TrialState.COMPLETE,,,,,0.07234028289348726,0.5040072748425045,
ABC-embedded-parallel,paper_s0_s10,0,0.34350514148093464,TrialState.COMPLETE,0.3745401188473625,0.9507143064099162,1.1266140008523318,,,,0.9305046995616021
ABC-embedded-parallel,paper_s0_s10,1,0.6692935675526878,TrialState.COMPLETE,0.15601864044243652,0.15599452033620265,0.1354291634239671,,,,1.3239686935631354
ABC-embedded-parallel,paper_s0_s10,2,0.23672275241236868,TrialState.COMPLETE,0.6011150117432088,0.7080725777960455,0.08027559859919674,,,,1.4765398478820424
ABC-embedded-parallel,paper_s0_s10,3,0.5858391221852555,TrialState.COMPLETE,0.8324426408004217,0.21233911067827616,0.3174274938878061,,,,0.31975067941004887
ABC-embedded-parallel,paper_s0_s10,4,0.41925281545382354,TrialState.COMPLETE,0.3042422429595377,0.5247564316322378,0.685303146796177,,,,0.478338749658916
ABC-embedded-parallel,paper_s0_s10,5,0.4354387142412386,TrialState.COMPLETE,0.6118528947223795,0.13949386065204183,0.4796852759583849,,,,0.5888436533941692
ABC-embedded-parallel,paper_s0_s10,6,0.4242439175046793,TrialState.COMPLETE,0.45606998421703593,0.7851759613930136,0.34367946535575983,,,,0.8063341231301764
ABC-embedded-parallel,paper_s0_s10,7,0.42591632816441194,TrialState.COMPLETE,0.5924145688620425,0.046450412719997725,0.943574736539785,,,,0.300806254749187
ABC-embedded-parallel,paper_s0_s10,8,0.0030139437392849985,TrialState.COMPLETE,0.06505159298527952,0.9488855372533332,1.47024804728155,,,,1.2389878502004263
ABC-embedded-parallel,paper_s0_s10,9,0.4858421236896284,TrialState.COMPLETE,0.3046137691733707,0.09767211400638387,1.0563674220658354,,,,0.6973746710218193
ABC-embedded-parallel,paper_s0_s10,10,0.02827914633317867,TrialState.COMPLETE,0.9516741169919208,0.3637276736216311,1.4759916212381294,,,,0.0764182606766236
ABC-embedded-parallel,paper_s0_s10,11,0.47778655983414653,TrialState.COMPLETE,0.953647979503124,0.29708337146146024,0.06414551779432281,,,,1.194467535987962
ABC-embedded-parallel,paper_s0_s10,12,0.45478730493140784,TrialState.COMPLETE,0.04826475286390343,0.2828794391744267,0.3004543902434944,,,,1.075374334482007
ABC-embedded-parallel,paper_s0_s10,13,0.2335543152010225,TrialState.COMPLETE,0.7897237476660546,0.45111673657466433,0.5718568116000182,,,,1.4260209708299016
ABC-embedded-parallel,paper_s0_s10,14,0.601805018470149,TrialState.COMPLETE,0.18738574019242682,0.2003232891817793,0.2602136710242119,,,,0.06403603205035657
ABC-embedded-parallel,paper_s0_s10,15,0.5506434132362179,TrialState.COMPLETE,0.1909419507181543,0.014157451639475238,0.1766636440170965,,,,0.1770310929610186
ABC-embedded-parallel,paper_s0_s10,16,0.5475071976337549,TrialState.COMPLETE,0.16851950058677245,0.1923945448271356,0.7578773475830773,,,,0.9983614350965313
ABC-embedded-parallel,paper_s0_s10,17,0.4309442319537822,TrialState.COMPLETE,0.17120389847760842,0.5149704140209432,0.5219531588099631,,,,0.46180969796328475
ABC-embedded-parallel,paper_s0_s10,18,0.4287618394660202,TrialState.COMPLETE,0.025549494810543028,0.3856220838738199,0.21762396841064008,,,,0.7286325430827032
ABC-embedded-parallel,paper_s0_s10,19,0.5233020523718914,TrialState.COMPLETE,0.4567437052962951,0.21363768556891755,0.36151030628516634,,,,1.3437329324269895
ABC-embedded-parallel,paper_s0_s10,20,0.42017324507428483,TrialState.COMPLETE,0.2494024070696051,0.6184046170093229,0.15639782235904476,,,,0.900835817857883
ABC-embedded-parallel,paper_s0_s10,21,0.5246875249471086,TrialState.COMPLETE,0.7500254791883959,0.2305472465267237,0.3617820574578873,,,,0.2890842353626165
