architecture,task,trial,value,state,omega,eta
AB-embedded,paper_s0_s10,47,0.6747744609720763,TrialState.COMPLETE,0.05254810883410127,0.48266644679893067
AB-embedded,paper_s0_s10,48,0.6887395800925935,TrialState.COMPLETE,0.31682780574215685,0.6011344432386638
AB-embedded,paper_s0_s10,49,0.7405184335844581,TrialState.COMPLETE,0.1260399989133208,0.8163677292841394
AB-embedded,paper_s0_s10,50,0.6986081958905355,TrialState.COMPLETE,0.12889185625587427,0.943932581709239
AB-embedded,paper_s0_s10,51,0.6284245958407724,TrialState.COMPLETE,0.004869809666533623,0.6933899416007271
AB-embedded,paper_s0_s10,52,0.6890486339974364,TrialState.COMPLETE,0.17684965722508802,0.7842582932726698
AB-embedded,paper_s0_s10,53,0.7524188897397631,TrialState.COMPLETE,0.07670584786075821,0.8154379219385565
AB-embedded,paper_s0_s10,54,0.5142578676216708,TrialState.COMPLETE,0.26471160347756323,1.0368080476283141
AB-embedded,paper_s0_s10,55,0.7525260528171488,TrialState.COMPLETE,0.09774455888176019,0.8243708094880278
AB-embedded,paper_s0_s10,56,0.43552132898115165,TrialState.COMPLETE,0.9962253844052456,0.8806034016721895
AB-embedded,paper_s0_s10,57,0.7514181743213417,TrialState.COMPLETE,0.08141566931446004,0.8098608552074668
AB-embedded,paper_s0_s10,58,0.6952661581506783,TrialState.COMPLETE,0.07979417820556167,0.7109521642959112
AB-embedded,paper_s0_s10,59,0.6894829272920007,TrialState.COMPLETE,0.1941801051514133,0.8121815189221113
AB-embedded,paper_s0_s10,60,0.7293454983436836,TrialState.COMPLETE,0.07760740552129505,0.9155318440330554
AB-embedded,paper_s0_s10,61,0.7462988800371078,TrialState.COMPLETE,0.11594844824514433,0.8215877253523879
AB-embedded,paper_s0_s10,62,0.6567229802085428,TrialState.COMPLETE,0.15275716959504027,0.9851924656642854
AB-embedded,paper_s0_s10,63,0.7240728144333799,TrialState.COMPLETE,0.10742041542873813,1.169567694468624
AB-embedded,p1_0_10_30,0,0.0019204922351400452,TrialState.COMPLETE,0.3745401188473625,1.4483071096990625
AB-embedded,p1_0_10_30,1,0.006291303458626524,TrialState.COMPLETE,0.7319939418114051,0.9305046995616021
AB-embedded,p1_0_10_30,2,0.013156697893076021,TrialState.COMPLETE,0.15601864044243652,0.2794361675106186
AB-embedded,p1_0_10_30,3,0.002132892390357151,TrialState.COMPLETE,0.05808361216819946,1.3239686935631354
AB-embedded,p1_0_10_30,4,0.0022499842301157234,TrialState.COMPLETE,0.6011150117432088,1.0914305465266174
AB-embedded,p1_0_10_30,5,0.001919572007892615,TrialState.COMPLETE,0.020584494295802447,1.4765398478820424
AB-embedded,p1_0_10_30,6,0.001353971161204145,TrialState.COMPLETE,0.8324426408004217,0.36230758402050356
AB-embedded,p1_0_10_30,7,0.009263165372107092,TrialState.COMPLETE,0.18182496720710062,0.31975067941004887
AB-embedded,p1_0_10_30,8,0.00414128030619016,TrialState.COMPLETE,0.3042422429595377,0.8218098321066927
AB-embedded,p1_0_10_30,9,0.0067113794933789835,TrialState.COMPLETE,0.43194501864211576,0.478338749658916
AB-embedded,p1_0_10_30,10,0.0018914202286127424,TrialState.COMPLETE,0.9516741169919208,0.058820634662532845
AB-embedded,p1_0_10_30,11,0.007958445487670659,TrialState.COMPLETE,0.18937223240644624,0.34608834690070656
AB-embedded,p1_0_10_30,12,0.004067028030182736,TrialState.COMPLETE,0.23731103846572432,0.10695688185730567
AB-embedded,p1_0_10_30,13,0.0012257870787302323,TrialState.COMPLETE,0.13819196556477736,0.5873123120598767
AB-embedded,p1_0_10_30,14,0.003680539007913983,TrialState.COMPLETE,0.4946443014220542,0.23466285010423427
AB-embedded,p1_0_10_30,15,0.0023932384874667595,TrialState.COMPLETE,0.17028488967556443,0.6489451371061096
AB-embedded,p1_0_10_30,16,0.0050918920728630825,TrialState.COMPLETE,0.3067760934068816,0.24790926088673448
AB-embedded,p1_0_10_30,17,0.005048625847314926,TrialState.COMPLETE,0.08667809260413219,0.6329611675564615
AB-embedded,p1_0_10_30,18,0.003917836602883856,TrialState.COMPLETE,0.5506938112041372,0.44592104229814494
AB-embedded,p1_0_10_30,19,0.004395245308231639,TrialState.COMPLETE,0.2669910729453694,0.19407256670696887
AB-embedded,p1_0_10_30,20,0.004304184630705661,TrialState.COMPLETE,0.38724106372145045,0.8262552572284476
AB-embedded,p1_0_10_30,21,0.006928276176518925,TrialState.COMPLETE,0.19354447470783456,0.3921067593147345
AB-embedded,p1_0_10_30,22,0.009260473568226164,TrialState.COMPLETE,0.13246100941235237,0.30640672680491765
AB-embedded,p1_0_10_30,23,0.002266095035846948,TrialState.COMPLETE,0.004517393027866162,0.5131544404220608
AB-embedded,p1_0_10_30,24,0.01273420237718547,TrialState.COMPLETE,0.11864141506661964,0.2745538035738078
AB-embedded,p1_0_10_30,25,0.005123331481750875,TrialState.COMPLETE,0.30791094944608494,0.134809060811409
AB-embedded,p1_0_10_30,26,0.013551692592585046,TrialState.COMPLETE,0.09244303287649694,0.2559209844664301
AB-embedded,p1_0_10_30,27,0.012884557262892633,TrialState.COMPLETE,0.0807977743667799,0.20856866658260487
AB-embedded,p1_0_10_30,28,0.005764762889627082,TrialState.COMPLETE,0.08157615884112923,0.1641209451579651
AB-embedded,p1_0_10_30,29,0.001978601648423855,TrialState.COMPLETE,0.36979420847132605,0.05313498178881382
AB-embedded,p1_0_10_30,30,0.003853240458991994,TrialState.COMPLETE,0.24127843291131917,0.5374468204791851
AB-embedded,p1_0_10_30,31,0.013587398841925797,TrialState.COMPLETE,0.07234028289348726,0.23999414299749944
AB-embedded,p1_0_10_30,32,0.011241624046629484,TrialState.COMPLETE,0.04759604818511781,0.1920045255252562
AB-embedded,p1_0_10_30,33,0.009022369649552157,TrialState.COMPLETE,0.01177744602450892,0.23000611790622089
AB-embedded,p1_0_10_30,34,0.004793296814027766,TrialState.COMPLETE,0.10482637251714305,0.3993500714952143
AB-embedded,p1_0_10_30,35,0.0021236916079885116,TrialState.COMPLETE,0.058776879020363895,1.3191903352727214
AB-embedded,p1_0_10_30,36,0.007586982883111208,TrialState.COMPLETE,0.21465308977098876,0.43566763738841363
AB-embedded,p1_0_10_30,37,0.004431757430384898,TrialState.COMPLETE,0.7059388023638251,0.12931696905021123
AB-embedded,p1_0_10_30,38,0.0033690581330833836,TrialState.COMPLETE,0.14606658963207314,0.7084818268848743
AB-embedded,p1_0_10_30,39,0.0010553112334365411,TrialState.COMPLETE,0.0029015745575382695,0.3192042682746676
AB-embedded,p1_0_10_30,40,0.005152064210455597,TrialState.COMPLETE,0.06909035652340423,1.11921708663922
AB-embedded,p1_0_10_30,41,0.01324356151233069,TrialState.COMPLETE,0.11383446452701074,0.26910675937575984
AB-embedded,p1_0_10_30,42,0.010204368206945083,TrialState.COMPLETE,0.09948847295646468,0.2830785828707732
AB-embedded,p1_0_10_30,43,0.006449173943607464,TrialState.COMPLETE,0.15981330685662937,0.3660046454043312
AB-embedded,p1_0_10_30,44,0.0037741221673618353,TrialState.COMPLETE,0.2682935081080397,0.10261001649392171
AB-embedded,p1_0_10_30,45,0.010903166774359818,TrialState.COMPLETE,0.04196512258166141,0.18980849454521131
AB-embedded,p1_0_10_30,46,0.006485465730896554,TrialState.COMPLETE,0.20459196371469635,0.4701129889354945
AB-embedded,p1_0_10_30,47,0.00612689237117007,TrialState.COMPLETE,0.13775627424740083,0.3590783843011026
AB-embedded,p1_0_10_30,48,0.012824091474580688,TrialState.COMPLETE,0.18083193093319155,0.2755388641008306
AB-embedded,p1_0_10_30,49,0.003284481731060959,TrialState.COMPLETE,0.9268429296792047,0.22395479660652945
AB-embedded,p1_0_10_30,50,0.001999460854965945,TrialState.COMPLETE,0.3496706759093108,0.05409547677758744
