seed,topology,d_B,task,tau,capacity
9,parallel,64,stm_linear,28,0.0013512849935615628
9,parallel,64,stm_linear,29,0.0013594519567851665
9,parallel,64,stm_linear,30,0.00025707745842456174
9,parallel,64,stm_linear,31,0.00036065867592808
9,parallel,64,stm_linear,32,0.0005148191541150612
9,parallel,64,stm_linear,33,8.60615393877493e-06
9,parallel,64,stm_linear,34,0.00014398145345461595
9,parallel,64,stm_linear,35,4.063803707253536e-05
9,parallel,64,stm_linear,36,0.0028194920842018723
9,parallel,64,stm_linear,37,0.00019254594340640632
9,parallel,64,stm_linear,38,0.0004503209093528764
9,parallel,64,stm_linear,39,5.027624293248424e-07
9,parallel,64,stm_linear,40,0.003937783941770785
9,parallel,64,stm_linear,41,1.1780251707230827e-05
9,parallel,64,stm_linear,42,9.895382783058322e-05
9,parallel,64,stm_linear,43,7.710843601710387e-05
9,parallel,64,stm_linear,44,0.0006772585542053346
9,parallel,64,stm_linear,45,0.00012479237094928207
9,parallel,64,stm_linear,46,0.0030524164792476
9,parallel,64,stm_linear,47,8.217687454709616e-06
9,parallel,64,stm_linear,48,7.28707356436548e-05
9,parallel,64,stm_linear,49,0.0005186707394050161
9,parallel,64,stm_linear,50,0.0004585398921551968
9,parallel,64,s10_x_s20,-1,0.44697699836367427
10,parallel,64,stm_linear,0,0.9687050320658449
10,parallel,64,stm_linear,1,0.9985389550562903
10,parallel,64,stm_linear,2,0.9990056857162578
10,parallel,64,stm_linear,3,0.9931729368602097
10,parallel,64,stm_linear,4,0.9860652098928938
10,parallel,64,stm_linear,5,0.98871232317067
10,parallel,64,stm_linear,6,0.9776783066330981
10,parallel,64,stm_linear,7,0.9546578616916043
10,parallel,64,stm_linear,8,0.9594953069949901
10,parallel,64,stm_linear,9,0.9150988864259134
10,parallel,64,stm_linear,10,0.9109295332049349
10,parallel,64,stm_linear,11,0.8473977084997323
10,parallel,64,stm_linear,12,0.8207211982450355
10,parallel,64,stm_linear,13,0.7114690519037574
10,parallel,64,stm_linear,14,0.5780258962580166
10,parallel,64,stm_linear,15,0.4600668914419679
10,parallel,64,stm_linear,16,0.3825105352510257
10,parallel,64,stm_linear,17,0.3080505437845459
10,parallel,64,stm_linear,18,0.13882245575959598
10,parallel,64,stm_linear,19,0.054236114440321975
10,parallel,64,stm_linear,20,0.08405661476212738
10,parallel,64,stm_linear,21,0.021283770820097674
10,parallel,64,stm_linear,22,0.060499219458846544
10,parallel,64,stm_linear,23,0.008401917222805129
10,parallel,64,stm_linear,24,0.014702776348523941
